img_fp,l0,l1,l2,l3
"('intermediary/split_data/test/TCGA-ET-A3DU-01Z-00-DX1.74661B7D-CB4A-42B4-983A-43BCD7B89D95.png',)",2.3704116,1.8352541,2.103811,1.5401548
"('intermediary/split_data/test/TCGA-YL-A8SR-01Z-00-DX1.0F54981A-9952-4CC8-BDC3-4EDA16739F22.png',)",1.1641783,2.223054,1.1222361,1.7265266
"('intermediary/split_data/test/TCGA-HC-7210-01Z-00-DX1.07b41e7b-3097-4a56-a8db-249b9fb0553b.png',)",0.63803375,0.6380224,1.3646427,0.9198173
"('intermediary/split_data/test/TCGA-FI-A2CX-01Z-00-DX1.912FBBD2-5837-46A1-B956-0E0BADAD86FE.png',)",1.7099802,2.5607321,1.8002312,2.219405
"('intermediary/split_data/test/TCGA-D1-A16D-01Z-00-DX1.F44C1B32-3691-484D-A423-9B401F46CC08.png',)",0.87263453,0.804335,2.0630133,2.1552708
"('intermediary/split_data/test/TCGA-HT-7858-01Z-00-DX4.7F6E369E-6CA5-4C61-A0B6-75C3EDDED6A9.png',)",2.3184018,2.1284566,1.9919026,1.514824
"('intermediary/split_data/test/TCGA-AJ-A3NE-01Z-00-DX1.D5B9E379-A272-47AE-82EC-8BB253CBEA07.png',)",1.657353,1.264753,1.3866861,0.70687395
"('intermediary/split_data/test/TCGA-VM-A8C8-01Z-00-DX8.CFBE7871-B2AD-4D99-8C40-D1EAC34BB272.png',)",0.63800365,0.63800365,0.63800365,0.8973594
"('intermediary/split_data/test/TCGA-KT-A74X-01Z-00-DX3.4DCD7F51-4CA2-4FAA-B2BB-9494D34C21F9.png',)",1.750784,2.6069958,1.5151982,1.7514766
"('intermediary/split_data/test/TCGA-49-6743-01Z-00-DX4.5ea81023-1372-48ed-88a8-374e2394d7f7.png',)",2.3551266,1.4887956,1.5885818,1.0806731
"('intermediary/split_data/test/TCGA-M7-A722-01Z-00-DX1.92921857-7A4A-4BE7-BF3E-8805C6397713.png',)",0.84697574,1.0170418,0.8789296,1.0455406
"('intermediary/split_data/test/TCGA-XK-AAJT-01Z-00-DX1.0ADE397E-A876-4D29-87DD-3B203CC00136.png',)",0.63800365,0.63800365,0.9365394,1.2756561
"('intermediary/split_data/test/TCGA-78-7166-01Z-00-DX1.d19ad2d9-b006-4a13-ba54-2fec234c2373.png',)",0.9880595,0.9276187,2.1615245,2.1297314
"('intermediary/split_data/test/TCGA-D1-A17R-01Z-00-DX1.8A3DDCB1-55A1-4FDE-B390-C2F2267FA646.png',)",2.1711862,1.7848024,1.844993,1.1671461
"('intermediary/split_data/test/TCGA-BP-4981-01Z-00-DX1.9f97b4b6-e251-42dc-8d95-72c79063f344.png',)",2.2335968,1.6056162,1.7631844,1.389307
"('intermediary/split_data/test/TCGA-CH-5754-01Z-00-DX1.4dae6511-baa2-4472-b625-a41c9c95dec8.png',)",0.67812526,0.76390296,0.6405195,0.6685542
"('intermediary/split_data/test/TCGA-VM-A8CE-01Z-00-DX3.EB6DA6B8-B95B-4385-A942-0E258CE453FE.png',)",1.8869344,1.6308244,1.6049349,1.7202073
"('intermediary/split_data/test/TCGA-AS-3777-01Z-00-DX1.3c2ee8f6-91f4-46e6-a84b-676d8560f3d4.png',)",0.64439785,0.6461344,0.64607954,0.6436017
"('intermediary/split_data/test/TCGA-TM-A84L-01Z-00-DX1.411C2D0B-921E-4B0A-95ED-DF9A89AFC76B.png',)",1.2094741,1.7728171,0.90663844,1.3203514
"('intermediary/split_data/test/TCGA-OR-A5JX-01Z-00-DX3.49689096-881F-472B-9B9F-4F51CE6F4910.png',)",1.3652087,2.5761561,1.3327788,2.0356643
"('intermediary/split_data/test/TCGA-EI-6512-01Z-00-DX1.edf24f1e-381b-4c14-aabc-9aa30e84c5d7.png',)",1.6810611,1.7134744,1.4080918,1.4287167
"('intermediary/split_data/test/TCGA-BP-4176-01Z-00-DX1.e6cbc6db-6340-4bca-b5c0-c3c358c78d80.png',)",0.7337624,1.1342305,1.0419775,2.40125
"('intermediary/split_data/test/TCGA-BJ-A0YZ-01Z-00-DX1.FFDC24FB-D8A1-40F8-89CD-DDB0ED010870.png',)",1.4216903,2.262335,0.98706704,1.7090201
"('intermediary/split_data/test/TCGA-DO-A1JZ-01Z-00-DX2.0AFF242D-24B6-4A84-BA67-9C6BF870DA3A.png',)",1.109083,0.9789063,2.48269,1.6808118
"('intermediary/split_data/test/TCGA-R8-A6MK-01Z-00-DXB.F02C56E8-9793-4272-B14E-031A06EE2C8F.png',)",0.82069576,1.8882539,0.7764803,2.0018237
"('intermediary/split_data/test/TCGA-E1-A7Z4-01Z-00-DX2.4DFFB8EE-BE6E-46F0-AC6D-8CC65BDA9441.png',)",1.4282057,1.1525834,2.3483639,1.8994948
"('intermediary/split_data/test/TCGA-AK-3434-01Z-00-DX1.996B7B9A-9036-4C09-87DD-552170EE956D.png',)",0.63800365,0.7014451,0.67357045,1.2656358
"('intermediary/split_data/test/TCGA-PG-A916-01Z-00-DX7.1F385796-7AEC-43CE-9F6A-564204BA9BE6.png',)",2.4917226,1.4333113,1.5989187,0.91573584
"('intermediary/split_data/test/TCGA-2A-A8W1-01Z-00-DX1.0CA35481-A243-4722-B3E5-4FB25EC9F6C0.png',)",0.68618274,1.760557,0.6600152,1.139478
"('intermediary/split_data/test/TCGA-B0-4824-01Z-00-DX1.c454abac-df1a-4610-be22-49358c436f8d.png',)",1.9313729,2.1078234,1.7264447,1.9318076
"('intermediary/split_data/test/TCGA-D1-A17A-01Z-00-DX1.F1CD6146-7FAF-4839-97F1-C5CD9612FC01.png',)",0.6946045,1.0967488,1.2550976,2.5403223
"('intermediary/split_data/test/TCGA-NJ-A7XG-01Z-00-DX1.4A876254-653C-410B-A36C-55FC41C1DD93.png',)",2.3956747,1.883346,1.8443987,1.0697432
"('intermediary/split_data/test/TCGA-A3-3365-01Z-00-DX1.dc5b8d77-b5ba-47c8-b536-a8f1ed458ed3.png',)",0.63800365,1.1329542,0.63800365,0.8146453
"('intermediary/split_data/test/TCGA-TM-A84G-01Z-00-DX1.97254527-3332-4DC2-BA8C-BE2DD5696F83.png',)",0.63801056,0.88934904,0.9353896,2.3880086
"('intermediary/split_data/test/TCGA-VM-A8C9-01Z-00-DX5.F028B05D-0986-42CC-B0AA-F55F9ACE743D.png',)",1.2441877,0.9307671,2.1594582,2.1822205
"('intermediary/split_data/test/TCGA-CE-A483-01Z-00-DX1.F36AC01B-DD23-476F-8527-1795C26D3F53.png',)",2.337822,1.798664,1.7005178,0.9070527
